datetime,time,o,c,h,l,volumn
2006/01/01 23:00:00,2006-01-01T16:00:00,1.1844,1.1822,1.1867,1.1798,0
2006/01/02 23:00:00,2006-01-02T16:00:00,1.1822,1.2012,1.203,1.1808,0
2006/01/03 23:00:00,2006-01-03T16:00:00,1.2012,1.2122,1.2144,1.2003,0
2006/01/04 23:00:00,2006-01-04T16:00:00,1.2122,1.2106,1.2122,1.2063,0
2006/01/05 23:00:00,2006-01-05T16:00:00,1.2106,1.2146,1.218,1.2077,0
2006/01/08 23:00:00,2006-01-08T16:00:00,1.2146,1.2082,1.2154,1.2049,0
2006/01/09 23:00:00,2006-01-09T16:00:00,1.2082,1.2061,1.2109,1.2034,0
2006/01/10 23:00:00,2006-01-10T16:00:00,1.2061,1.2123,1.2144,1.2042,0
2006/01/11 23:00:00,2006-01-11T16:00:00,1.2123,1.2034,1.2163,1.2004,0
2006/01/12 23:00:00,2006-01-12T16:00:00,1.2034,1.2148,1.2142,1.2024,0
2006/01/15 23:00:00,2006-01-15T16:00:00,1.2148,1.2117,1.2174,1.2102,0
2006/01/16 23:00:00,2006-01-16T16:00:00,1.2117,1.2104,1.2143,1.2048,0
2006/01/17 23:00:00,2006-01-17T16:00:00,1.2104,1.2115,1.2159,1.2068,0
2006/01/18 23:00:00,2006-01-18T16:00:00,1.2115,1.2098,1.2124,1.2052,0
2006/01/19 23:00:00,2006-01-19T16:00:00,1.2098,1.2139,1.214,1.2039,0
2006/01/22 23:00:00,2006-01-22T16:00:00,1.2139,1.2307,1.2311,1.2136,0
2006/01/23 23:00:00,2006-01-23T16:00:00,1.2307,1.2283,1.2323,1.2256,0
2006/01/24 23:00:00,2006-01-24T16:00:00,1.2283,1.2242,1.2323,1.2233,0
2006/01/25 23:00:00,2006-01-25T16:00:00,1.2242,1.2204,1.227,1.2198,0
2006/01/26 23:00:00,2006-01-26T16:00:00,1.2204,1.2105,1.2235,1.2084,0
2006/01/29 23:00:00,2006-01-29T16:00:00,1.2105,1.2091,1.2115,1.206,0
2006/01/30 23:00:00,2006-01-30T16:00:00,1.2091,1.2132,1.2189,1.2075,0
2006/01/31 23:00:00,2006-01-31T16:00:00,1.2152,1.2056,1.2165,1.2047,0
2006/02/01 23:00:00,2006-02-01T16:00:00,1.2056,1.209,1.2108,1.203,0
2006/02/02 23:00:00,2006-02-02T16:00:00,1.209,1.2035,1.2112,1.1967,0
2006/02/05 23:00:00,2006-02-05T16:00:00,1.2035,1.1965,1.2047,1.1943,0
